#OTU ID	SF1_B1_T0_R1_001.fastq	SF1_B1_T0_Root_R1_001.fastq	SF1_B1_T4_R1_001.fastq	SF1_B1_T4_Root_R1_001.fastq	SF1_B2_T0_R1_001.fastq	SF1_B2_T0_Root_R1_001.fastq	SF1_B2_T4_R1_001.fastq	SF1_B2_T4_Root_R1_001.fastq	SF1_B3_T0_R1_001.fastq	SF1_B3_T0_Root_R1_001.fastq	SF1_B3_T4_Root_R1_001.fastq	SF1_B4_T0_R1_001.fastq	SF1_B4_T0_Root_R1_001.fastq	SF1_B4_T4_R1_001.fastq	SF1_B4_T4_Root_R1_001.fastq	SF2_B1_T0_R1_001.fastq	SF2_B1_T4_R1_001.fastq	SF2_B1_T4_Root_R1_001.fastq	SF2_B2_T0_R1_001.fastq	SF2_B2_T4_R1_001.fastq	SF2_B2_T4_Root_R1_001.fastq	SF2_B3_T0_R1_001.fastq	SF2_B3_T4_R1_001.fastq	SF2_B3_T4_Root_R1_001.fastq	SF2_B4_T0_R1_001.fastq	SF2_B4_T4_R1_001.fastq	SF2_B4_T4_Root_R1_001.fastq	SF3_B1_T0_R1_001.fastq	SF3_B1_T0_Root_R1_001.fastq	SF3_B1_T4_R1_001.fastq	SF3_B1_T4_Root_R1_001.fastq	SF3_B2_T0_R1_001.fastq	SF3_B2_T0_Root_R1_001.fastq	SF3_B2_T4_R1_001.fastq	SF3_B2_T4_Root_R1_001.fastq	SF3_B3_T0_R1_001.fastq	SF3_B3_T0_Root_R1_001.fastq	SF3_B3_T4_R1_001.fastq	SF3_B3_T4_Root_R1_001.fastq	SF3_B4_T0_R1_001.fastq	SF3_B4_T0_Root_R1_001.fastq	SF3_B4_T4_R1_001.fastq	SF3_B4_T4_Root_R1_001.fastq	SF4_B1_T0_R1_001.fastq	SF4_B1_T4_R1_001.fastq	SF4_B1_T4_Root_R1_001.fastq	SF4_B2_T0_R1_001.fastq	SF4_B2_T4_R1_001.fastq	SF4_B2_T4_Root_R1_001.fastq	SF4_B3_T0_R1_001.fastq	SF4_B3_T4_R1_001.fastq	SF4_B3_T4_Root_R1_001.fastq	Sf4_B4_T0_R1_001.fastq	SF4_B4_T4_R1_001.fastq	SF4_B4_T4_Root_R1_001.fastq	SF6_B1_T0_R1_001.fastq	SF6_B1_T4_R1_001.fastq	SF6_B1_T4_Root_R1_001.fastq	SF6_B2_T0_R1_001.fastq	SF6_B2_T4_R1_001.fastq	SF6_B2_T4_Root_R1_001.fastq	SF6_B3_T0_R1_001.fastq	SF6_B3_T4_R1_001.fastq	SF6_B3_T4_Root_R1_001.fastq	SF6_B4_T0_R1_001.fastq	SF6_B4_T4_R1_001.fastq	SF6_B4_T4_Root_R1_001.fastq	SF8_B1_T0_R1_001.fastq	SF8_B1_T0_Root_R1_001.fastq	SF8_B1_T4_R1_001.fastq	SF8_B1_T4_Root_R1_001.fastq	SF8_B2_T0_R1_001.fastq	SF8_B2_T0_Root_R1_001.fastq	SF8_B2_T4_R1_001.fastq	SF8_B2_T4_Root_R1_001.fastq	SF8_B3_T0_R1_001.fastq	SF8_B3_T0_Root_R1_001.fastq	SF8_B3_T4_R1_001.fastq	SF8_B3_T4_Root_R1_001.fastq	SF8_B4_T0_R1_001.fastq	SF8_B4_T0_Root_R1_001.fastq	SF8_B4_T4_R1_001.fastq	SF8_B4_T4_Root_R1_001.fastq
M02808:184:000000000-LYVHM:1:1107:8736:5753	0	0	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:2111:11428:23435	0	0	0	0	1	0	0	0	0	0	0	0	24	0	12	0	0	0	2	5	0	7	0	0	5	0	0	0	0	0	58	0	0	0	15	0	0	0	31	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	5	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0
M02808:184:000000000-LYVHM:1:1110:22024:16543	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	1	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:1110:9319:23985	0	0	0	0	1	0	0	0	0	0	0	2	0	6	1	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:1113:12142:8638	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	2	2	1	1	0	0	6	0	0	0	0	3	0	0	0	1	0	3	0	0	2	2	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:1113:6610:22739	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:2101:11885:21326	0	0	0	0	4	17	3	0	0	0	0	0	0	0	8	0	0	0	0	26	0	0	0	17	0	14	0	0	0	28	0	12	0	0	0	0	0	0	0	0	0	0	0	9	35	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	11	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	22	0
M02808:184:000000000-LYVHM:1:2110:21834:14252	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	5	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:1107:2602:17853	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
M02808:184:000000000-LYVHM:1:2103:15485:16943	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2	1	0	17	0	0	0	0	11	0	0	0	0	18	0	0	0	0	30	0	0	0
